press,act
1009.8,0.726
1010.2,0.813
1010.8,0.351
1011.3,0.087
1012,0.013
1012.2,0.02
1011.9,0.094
1011.4,0.087
1010.6,0.127
1010.3,0.155
1010.4,0.163
1010.6,0.167
1010.6,0.242
1010.9,0.5
1011.5,0.875
1012,1.352
1012.4,1.598
1012.4,2.458
1011.9,2.015
1010.9,1.28
1009.7,1.269
1009.1,1.049
1009,1.038
1009.1,0.648
1009.6,0.288
1010.7,0.258
1010.9,0.11
1011.8,0.015
1012.5,0
1013,0.004
1012.6,0.004
1012.1,0.008
1011.3,0
