hora,temp,press,ventvel,rad,act
16,27,1008.2,1.6,8.328,0.199
17,26.6,1009,1.3,-3.49,0.152
18,26.4,1009.5,0.9,-3.53,0.061
19,26.2,1010.1,0.6,-3.54,0.007
20,25.9,1010.1,0.2,-3.54,0.017
21,25.9,1009.6,0.3,-3.46,0.051
22,25.6,1008.9,0.2,-3.21,0.101
23,25.2,1008.5,0,-3.54,0.176
0,25.1,1008,0.2,-3.53,0.158
1,25.2,1007.8,0.4,-2.68,0.158
2,25,1008,0,-3.54,0.286
3,25,1008.5,0,-3.53,0.376
4,25.4,1008.7,0.2,43.41,0.707
5,27.8,1009.3,0.6,308.2,1.244
6,29,1009.9,0.8,500.1,1.523
7,30.2,1009.9,1.4,880.7,1.816
8,31.2,1009.9,0.9,1422,1.808
9,31.7,1009.3,0.7,1637,1.342
10,30.9,1008.3,2.3,2201,1.229
11,31.5,1007.3,1.4,1988,0.823
12,32.2,1006.8,1.6,1795,1.026
13,32.3,1006,1.9,1620,0.868
14,30.2,1006.6,2.6,1064,0.613
15,28.7,1007.5,1.9,225.8,0.41
16,26.8,1008.1,0.5,2.299,0.282
17,26,1008.9,0.3,-3.27,0.203
18,26.1,1009.4,1.1,-3.53,0.098
19,26,1009.9,0.5,-3.48,0.132
20,25.6,1010.2,0.6,-3.54,0.06
21,25.4,1009.9,0.1,-3.54,0.113
22,25.2,1009.3,0.1,-3.54,0.124
23,25,1008.6,0,-3.54,0.177
0,24.9,1008.2,0,-3.54,0.231
1,24.7,1008.4,0,-3.54,0.146
2,24.6,1008.9,0.1,-3.54,0.208
3,24.2,1009.6,0,-3.54,0.327
4,24.6,1009.9,0.1,46.25,0.362
5,26.7,1010.4,1,185.9,0.919
6,28.7,1011.3,1.5,373.8,1.435
7,29.8,1011.2,1.5,911.4,1.323
8,30.1,1011.1,1.4,1179,1.485
9,30.5,1010.3,1.8,1499,1.073
10,31,1009.4,0.7,1318,1.288
11,32.9,1008.4,1.1,1704,1.096
12,33.1,1007.8,1.1,1995,0.846
13,32,1007.6,1.3,1015,0.888
14,31.1,1007.5,1.2,406.2,0.692
15,29.9,1007.9,0.9,281.6,0.492
16,28.5,1008.3,0.9,11.68,0.654
17,27.5,1009.1,0.8,-3.54,0.285
18,26.6,1009.6,0.9,-3.54,0.081
