rad,act
440.1,0.648
135.6,0.288
3.265,0.258
-1.62,0.11
-1.53,0.015
-2.56,0
-3.5,0.004
-3.25,0.004
-2.81,0.008
-3.42,0
