hora,temp,press,ventvel,rad,chuva,act
0.391304,0.725664,0.671429,0.657895,0.698919,0,0.66192
0.434783,0.769912,0.528571,0.973684,0.928474,0,0.534174
0.478261,0.831858,0.385714,0.605263,0.863673,0,0.510171
0.521739,0.867257,0.214286,0.5,0.727346,0,0.364524
0.565217,0.814159,0.157143,0.394737,0.531413,0,0.371847
0.608696,0.778761,0.114286,0.289474,0.344345,0,0.18511
0.652174,0.681416,0.185714,0.236842,0.095227,0,0.148902
0.695652,0.539823,0.228571,0.026316,0.002577,0,0.211147
0.73913,0.469027,0.371429,0.447368,0,0,0.121644
0.782609,0.415929,0.514286,0.263158,0,0,0.006103
0.826087,0.389381,0.614286,0.263158,0.00007,0,0.001627
0.869565,0.336283,0.614286,0.184211,0.000107,0,0.006103
0.913043,0.292035,0.585714,0.131579,0.000006,0,0.013832
0.956522,0.283186,0.5,0,0.000018,0,0.019935
1,0.300885,0.414286,0,0.000079,0,0.077299
0,0.300885,0.342857,0.131579,0.00015,0,0.076892
0.043478,0.256637,0.328571,0,0.000003,0,0.053295
0.086957,0.221239,0.357143,0,0,0,0.123271
0.130435,0.159292,0.371429,0,0,0,0.158259
0.173913,0.19469,0.457143,0,0.013547,0,0.385273
0.217391,0.336283,0.557143,0.236842,0.057844,0,0.600081
0.26087,0.442478,0.642857,0.342105,0.127781,0,0.715216
0.304348,0.566372,0.657143,0.605263,0.275723,0,0.620423
0.347826,0.610619,0.7,0.710526,0.638397,0,0.75712
0.391304,0.725664,0.614286,0.605263,0.906466,0,0.715216
0.434783,0.743363,0.442857,0.578947,0.925417,0,0.537022
0.478261,0.858407,0.328571,0.447368,0.854808,0,0.495118
0.521739,0.831858,0.228571,0.342105,0.717564,0,0.491863
0.565217,0.823009,0.185714,0.605263,0.603856,0,0.456876
0.608696,0.787611,0.171429,0.552632,0.378886,0,0.263629
0.652174,0.681416,0.185714,0.210526,0.098009,0,0.146867
0.695652,0.522124,0.228571,0,0.003221,0,0.238405
0.73913,0.513274,0.3,0.210526,0,0,0.166802
0.782609,0.469027,0.385714,0.368421,0,0,0.015053
0.826087,0.415929,0.528571,0.236842,0,0,0.001627
0.869565,0.362832,0.571429,0.184211,0,0,0.013426
0.913043,0.336283,0.571429,0.131579,0,0,0.030106
0.956522,0.300885,0.471429,0,0,0,0.021562
1,0.283186,0.385714,0.026316,0,0,0.031733
0,0.265487,0.328571,0.026316,0,0,0.041497
0.043478,0.238938,0.3,0,0,0,0.06428
0.086957,0.212389,0.285714,0.026316,0,0,0.078519
0.130435,0.20354,0.285714,0.052632,0,0,0.115541
0.173913,0.20354,0.371429,0.105263,0.016485,0,0.245728
0.217391,0.283186,0.542857,0.078947,0.09373,0,0.522376
0.26087,0.451327,0.571429,0.105263,0.19732,0,0.649308
0.304348,0.557522,0.642857,0.236842,0.31225,0,0.565094
0.347826,0.610619,0.685714,0.631579,0.64237,0,0.60537
0.391304,0.743363,0.585714,0.342105,0.880179,0,0.47681
0.434783,0.769912,0.442857,0.210526,0.833106,0,0.502441
0.478261,0.778761,0.371429,0.815789,0.631061,0,0.460944
0.521739,0.79646,0.285714,0.605263,0.69739,0,0.419854
0.565217,0.769912,0.228571,0.157895,0.397531,0,0.355574
0.608696,0.646018,0.228571,0.394737,0.26368,0,0.268511
0.652174,0.557522,0.285714,0.263158,0.100301,0,0.191212
0.695652,0.477876,0.285714,0.236842,0.005187,0,0.209927
0.73913,0.40708,0.371429,0.078947,0,0,0.167209
0.782609,0.353982,0.5,0.131579,0,0,0.025631
0.826087,0.345133,0.571429,0.184211,0.000006,0,0
0.869565,0.300885,0.557143,0.131579,0.000098,0,0.002848
0.913043,0.274336,0.557143,0,0,0,0.005696
0.956522,0.238938,0.514286,0,0,0,0.014239
1,0.212389,0.442857,0.026316,0,0,0.021562
0,0.185841,0.342857,0.105263,0,0,0.030106
